The Word Rank Frequency for the file:,austen-emma.txt
Word,Frequency,Rank
to,5242,1
the,5204,2
and,4897,3
of,4293,4
i,3192,5
a,3130,6
it,2529,7
her,2490,8
was,2400,9
she,2364,10
in,2188,11
not,2151,12
you,1999,13
be,1976,14
that,1818,15
he,1811,16
had,1626,17
but,1441,18
as,1437,19
for,1347,20
have,1321,21
is,1243,22
with,1218,23
very,1212,24
mr,1154,25
his,1150,26
at,1033,27
so,974,28
s,935,29
emma,865,30
all,848,31
could,837,32
would,821,33
him,771,34
been,760,35
no,742,36
my,732,37
mrs,701,38
on,692,39
any,655,40
do,640,41
miss,602,42
were,601,43
me,583,44
will,573,45
must,571,46
by,571,47
which,556,48
there,551,49
from,546,50
they,541,51
what,537,52
this,526,53
harriet,506,54
or,494,55
such,489,56
much,486,57
if,485,58
said,484,59
more,469,60
an,464,61
one,458,62
are,455,63
weston,440,64
them,436,65
every,435,66
am,425,67
than,415,68
well,403,69
thing,399,70
knightley,389,71
elton,387,72
think,384,73
how,371,74
should,371,75
your,369,76
when,364,77
little,361,78
never,358,79
being,358,80
good,358,81
we,357,82
did,353,83
only,341,84
know,337,85
might,326,86
woodhouse,314,87
now,313,88
say,312,89
their,306,90
own,303,91
jane,301,92
who,295,93
can,284,94
quite,282,95
time,280,96
herself,279,97
great,265,98
some,265,99
nothing,256,100
too,254,101
has,252,102
before,250,103
most,249,104
about,249,105
dear,241,106
fairfax,241,107
always,238,108
man,236,109
thought,226,110
soon,224,111
churchill,224,112
may,223,113
see,222,114
other,221,115
shall,219,116
again,219,117
without,214,118
out,212,119
first,211,120
frank,208,121
father,207,122
sure,204,123
indeed,202,124
like,200,125
made,199,126
ever,193,127
body,193,128
oh,193,129
young,192,130
day,192,131
up,190,132
two,179,133
though,177,134
friend,177,135
better,173,136
come,172,137
then,171,138
just,169,139
into,163,140
after,161,141
hartfield,160,142
upon,159,143
give,159,144
way,156,145
here,156,146
really,153,147
make,152,148
bates,148,149
us,148,150
having,147,151
rather,146,152
himself,146,153
long,146,154
hope,143,155
done,142,156
cannot,142,157
seemed,141,158
over,139,159
many,138,160
away,138,161
poor,136,162
wish,136,163
while,133,164
home,132,165
go,132,166
even,132,167
woman,132,168
however,131,169
does,130,170
enough,129,171
mind,128,172
yes,125,173
happy,125,174
highbury,125,175
its,122,176
look,121,177
moment,121,178
going,120,179
heard,120,180
last,119,181
came,119,182
half,119,183
take,119,184
room,117,185
love,117,186
pleasure,115,187
still,115,188
another,114,189
felt,114,190
something,113,191
sort,112,192
morning,111,193
yet,109,194
letter,109,195
saw,108,196
few,106,197
myself,103,198
same,102,199
feelings,102,200
till,102,201
believe,102,202
certainly,101,203
idea,100,204
hear,100,205
perhaps,99,206
our,99,207
off,99,208
speak,99,209
doubt,98,210
party,97,211
evening,97,212
subject,97,213
those,95,214
house,95,215
ought,95,216
feel,95,217
people,95,218
word,94,219
place,93,220
deal,92,221
found,92,222
right,92,223
looked,91,224
often,91,225
present,90,226
want,90,227
john,90,228
randalls,90,229
let,90,230
coming,89,231
almost,89,232
smith,89,233
knew,88,234
where,87,235
both,86,236
visit,86,237
best,85,238
least,85,239
martin,85,240
old,85,241
possible,84,242
hour,83,243
once,83,244
friends,82,245
kind,82,246
world,82,247
cried,81,248
suppose,81,249
together,81,250
life,80,251
perry,80,252
else,80,253
gone,80,254
replied,79,255
told,79,256
tell,78,257
family,77,258
given,77,259
whole,76,260
wanted,76,261
happiness,76,262
obliged,76,263
lady,75,264
find,75,265
manner,75,266
three,73,267
between,73,268
nobody,73,269
whom,73,270
ill,73,271
seen,73,272
mother,72,273
able,72,274
opinion,71,275
hardly,71,276
part,71,277
side,71,278
short,70,279
far,70,280
immediately,70,281
down,70,282
looking,69,283
understand,69,284
isabella,69,285
carriage,69,286
less,68,287
left,68,288
wife,68,289
pretty,68,290
get,67,291
person,67,292
perfectly,67,293
back,67,294
ready,66,295
heart,66,296
extremely,66,297
towards,66,298
true,66,299
these,66,300
talked,66,301
sir,66,302
since,65,303
afraid,65,304
answer,65,305
comfort,65,306
general,65,307
marry,64,308
either,64,309
spirits,64,310
whether,64,311
situation,64,312
nor,64,313
put,64,314
began,64,315
set,63,316
next,63,317
under,63,318
acquaintance,63,319
therefore,62,320
daughter,62,321
things,62,322
sorry,61,323
course,61,324
change,61,325
cole,61,326
through,61,327
bad,60,328
talk,60,329
known,60,330
others,60,331
children,60,332
thinking,60,333
account,59,334
mean,59,335
dare,59,336
assure,59,337
attention,59,338
superior,59,339
goddard,59,340
longer,59,341
leave,58,342
taken,58,343
exactly,58,344
making,57,345
aunt,57,346
years,57,347
equal,57,348
walk,56,349
state,56,350
degree,56,351
return,56,352
feeling,56,353
yourself,56,354
sense,56,355
chapter,56,356
name,56,357
passed,55,358
brother,55,359
business,55,360
imagine,55,361
why,55,362
beyond,54,363
brought,54,364
gave,54,365
cold,54,366
because,53,367
manners,53,368
minutes,53,369
talking,53,370
hand,53,371
bear,52,372
satisfied,52,373
natural,52,374
read,52,375
walked,52,376
campbell,51,377
usual,51,378
directly,51,379
seeing,51,380
eyes,51,381
saying,51,382
point,51,383
among,51,384
care,51,385
days,50,386
used,50,387
glad,50,388
agreeable,50,389
affection,50,390
rest,50,391
appeared,49,392
taylor,49,393
dinner,49,394
words,49,395
donwell,49,396
wonder,49,397
remember,48,398
wished,48,399
attachment,48,400
means,48,401
end,48,402
ah,48,403
society,48,404
voice,47,405
son,47,406
each,47,407
interest,47,408
pleased,47,409
girl,47,410
took,47,411
allow,47,412
door,47,413
full,46,414
speaking,46,415
went,46,416
believed,46,417
near,46,418
particularly,46,419
likely,46,420
giving,46,421
against,46,422
married,46,423
already,45,424
doing,45,425
dixon,45,426
air,45,427
walking,45,428
ladies,45,429
london,45,430
farther,44,431
strong,44,432
called,44,433
smile,44,434
stay,44,435
respect,44,436
hoped,43,437
ask,43,438
meant,43,439
regard,43,440
character,43,441
proper,42,442
call,42,443
five,42,444
conversation,42,445
fine,42,446
different,42,447
need,42,448
spoke,42,449
real,42,450
impossible,41,451
open,41,452
delightful,41,453
afterwards,41,454
early,41,455
night,41,456
particular,41,457
nature,41,458
power,41,459
pleasant,41,460
reason,41,461
kindness,40,462
sitting,40,463
beginning,40,464
expected,40,465
allowed,40,466
thank,40,467
head,40,468
consider,40,469
themselves,40,470
weather,40,471
fortune,39,472
health,39,473
whose,39,474
settled,39,475
wrong,39,476
round,39,477
entirely,39,478
question,39,479
sometimes,39,480
letters,39,481
help,39,482
returned,39,483
object,39,484
creature,39,485
thoughts,39,486
