IMDB_ID,Title,Rating,Budget,Gross,Year,Country
tt0012190,The Four Horsemen of the Apocalypse,7.9,800000,None,None,None
tt0013099,The Electric House,7.3,None,33,2002,Spain
tt0013099,The Electric House,7.3,None,None,None,None
tt0017765,College,7.1,None,23993,2002,Spain
tt0017765,College,7.1,None,None,None,None
tt0018037,The Jazz Singer,6.8,422000,None,None,None
tt0018455,Sunrise,8.3,None,14406,2004,UK
tt0018455,Sunrise,8.3,None,13918,2004,UK
tt0018455,Sunrise,8.3,None,13861,2004,UK
tt0018455,Sunrise,8.3,None,13644,2004,UK
tt0018455,Sunrise,8.3,None,13534,2004,UK
tt0018455,Sunrise,8.3,None,13130,2004,UK
tt0018455,Sunrise,8.3,None,12885,2004,UK
tt0018455,Sunrise,8.3,None,12677,2004,UK
tt0018455,Sunrise,8.3,None,12392,2004,UK
tt0018455,Sunrise,8.3,None,10839,2004,UK
tt0018455,Sunrise,8.3,None,10125,2004,UK
tt0018455,Sunrise,8.3,None,9240,2004,UK
tt0018455,Sunrise,8.3,None,5801,2004,UK
tt0018455,Sunrise,8.3,None,97576,2004,Italy
tt0018455,Sunrise,8.3,None,32695,2004,Italy
tt0018455,Sunrise,8.3,None,8883,2004,Italy
tt0018455,Sunrise,8.3,None,44322,2005,Portugal
tt0018455,Sunrise,8.3,None,5130,2002,Spain
tt0019729,The Broadway Melody,6.3,379000,0,None,except
tt0020466,Sunnyside Up,6.8,None,0,None,None
tt0020629,All Quiet on the Western Front,8.1,1448864,None,None,None
tt0023876,Cavalcade,6,1180280,None,None,None
tt0025617,The Painted Veil,6.6,947000,0,None,except
tt0025617,The Painted Veil,6.6,947000,None,None,None
tt0028957,Green Fields,6.3,8000,None,None,None
tt0032553,The Great Dictator,8.5,2000000,0,None,None
tt0032553,The Great Dictator,8.5,2000000,0,None,None
tt0032553,The Great Dictator,8.5,2000000,0,None,None
tt0032553,The Great Dictator,8.5,2000000,395872,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,373127,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,363535,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,345896,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,326308,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,313660,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,277125,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,238755,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,182102,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,112359,2003,Italy
tt0032553,The Great Dictator,8.5,2000000,54009,2002,Italy
tt0032553,The Great Dictator,8.5,2000000,9826,2002,Italy
tt0034465,Arabian Nights,6.3,None,None,None,None
tt0036306,Reveille with Beverly,6.7,40000,0,None,None
tt0038650,It's a Wonderful Life,8.6,3180000,7270000,1947,USA
tt0038650,It's a Wonderful Life,8.6,3180000,682222,2010,UK
tt0038650,It's a Wonderful Life,8.6,3180000,569890,2010,UK
tt0038650,It's a Wonderful Life,8.6,3180000,248018,2008,UK
tt0040259,Currito de la Cruz,6,None,2659368,None,USA
tt0043274,Alice au pays des merveilles,7.4,3000000,0,None,None
tt0043274,Alice au pays des merveilles,7.4,3000000,None,None,None
tt0043274,Alice au pays des merveilles,7.4,3000000,None,None,None
tt0043274,Alice au pays des merveilles,7.4,3000000,0,None,Disney
tt0044672,The Greatest Show on Earth,6.7,4000000,36880000,1952,USA
tt0044672,The Greatest Show on Earth,6.7,4000000,None,None,None
tt0044672,The Greatest Show on Earth,6.7,4000000,None,None,None
tt0044741,Ikiru,8.3,None,55240,2003,USA
tt0044741,Ikiru,8.3,None,49747,2003,USA
tt0044741,Ikiru,8.3,None,48403,2003,USA
tt0044741,Ikiru,8.3,None,47573,2003,USA
tt0044741,Ikiru,8.3,None,47115,2003,USA
tt0044741,Ikiru,8.3,None,45669,2003,USA
tt0044741,Ikiru,8.3,None,43913,2003,USA
tt0044741,Ikiru,8.3,None,40753,2003,USA
tt0044741,Ikiru,8.3,None,40263,2003,USA
tt0044741,Ikiru,8.3,None,39300,2003,USA
tt0044741,Ikiru,8.3,None,36602,2003,USA
tt0044741,Ikiru,8.3,None,33999,2003,USA
tt0044741,Ikiru,8.3,None,9739,2003,USA
tt0045637,Column South,6.3,None,0,None,None
tt0045830,El golfo que vio una estrella,0,None,84257,None,USA
tt0045841,The Great Sioux Uprising,5.5,None,0,None,None
tt0045841,The Great Sioux Uprising,5.5,None,None,None,None
tt0046889,The Dam Busters,7.4,None,0,None,None
tt0046906,Destry,6.6,None,0,None,None
tt0047123,It Should Happen to You,7.3,None,None,None,None
tt0048801,We're No Angels,7.5,1685000,0,None,None
tt0049261,Giant,7.7,5400000,169928,1996,USA
tt0049261,Giant,7.7,5400000,140211,1996,USA
tt0049261,Giant,7.7,5400000,93472,1996,USA
tt0049261,Giant,7.7,5400000,36655,1996,USA
tt0049261,Giant,7.7,5400000,5649,1996,USA
tt0050680,Man in the Shadow,6.9,600000,0,None,None
tt0050680,Man in the Shadow,6.9,600000,None,None,None
tt0053143,Operation Petticoat,7.3,None,0,None,None
tt0053724,La petite voiture,7.6,None,396717,None,USA
tt0054698,Breakfast at Tiffany's,7.7,2500000,None,None,None
tt0055928,Dr. No,7.3,1100000,0,None,except
tt0055928,Dr. No,7.3,1100000,4772574,1963,France
tt0055928,Dr. No,7.3,1100000,None,None,None
tt0056221,Commando,7.2,None,447785,None,USA
tt0056613,I tre nemici,4.7,None,150373550,1964,Italy
tt0057076,From Russia with Love,7.5,2000000,0,None,except
tt0057076,From Russia with Love,7.5,2000000,7610000,None,USA
tt0057076,From Russia with Love,7.5,2000000,None,None,None
tt0057083,Fun in Acapulco,5.8,None,None,None,None
tt0058182,A Hard Day's Night,7.7,560000,515005,2014,USA
tt0058182,A Hard Day's Night,7.7,560000,427506,2014,USA
tt0058182,A Hard Day's Night,7.7,560000,1000549,2001,USA
tt0058182,A Hard Day's Night,7.7,560000,965351,2001,USA
tt0058182,A Hard Day's Night,7.7,560000,919921,2001,USA
tt0058182,A Hard Day's Night,7.7,560000,860887,2001,USA
tt0058182,A Hard Day's Night,7.7,560000,650450,2001,USA
tt0058182,A Hard Day's Night,7.7,560000,426241,2000,USA
tt0058182,A Hard Day's Night,7.7,560000,277430,2000,USA
tt0058182,A Hard Day's Night,7.7,560000,178161,2000,USA
tt0058182,A Hard Day's Night,7.7,560000,50445,2000,USA
tt0058182,A Hard Day's Night,7.7,560000,56805,1982,USA
tt0058182,A Hard Day's Night,7.7,560000,0,None,None
tt0058182,A Hard Day's Night,7.7,560000,0,None,None
tt0058182,A Hard Day's Night,7.7,560000,2563000,None,USA
tt0058385,My Fair Lady,7.9,17000000,8805000,None,USA
tt0058385,My Fair Lady,7.9,17000000,None,None,None
tt0059578,For a Few Dollars More,8.3,600000,25204,2014,Italy
tt0059578,For a Few Dollars More,8.3,600000,274756312,None,USA
tt0060176,Blow-Up,7.7,1800000,None,None,None
tt0060176,Blow-Up,7.7,1800000,390944,1975,Spain
tt0060176,Blow-Up,7.7,1800000,None,None,None
tt0060196,The Good the Bad and the Ugly,8.9,1200000,25100000,2012,USA
tt0060196,The Good the Bad and the Ugly,8.9,1200000,10584,2003,Finland
tt0060196,The Good the Bad and the Ugly,8.9,1200000,39749,2014,Italy
tt0061385,Barefoot in the Park,7,None,None,None,None
tt0061385,Barefoot in the Park,7,None,1417342,1968,Spain
tt0061852,The Jungle Book,7.6,None,0,None,None
tt0061852,The Jungle Book,7.6,None,0,None,None
tt0061852,The Jungle Book,7.6,None,0,None,None
tt0061852,The Jungle Book,7.6,None,0,None,except
tt0061852,The Jungle Book,7.6,None,25263000,None,USA
tt0062005,La mujer de otro,5.6,None,20100462,None,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,56954992,2016,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,56954992,2001,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,239621,2001,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,56715371,1977,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,21500000,1970,USA
tt0062622,2001: A Space Odyssey,8.3,12000000,0,None,None
tt0062622,2001: A Space Odyssey,8.3,12000000,0,None,None
tt0062622,2001: A Space Odyssey,8.3,12000000,0,None,None
tt0062622,2001: A Space Odyssey,8.3,12000000,12000000,1969,Non-USA
tt0062622,2001: A Space Odyssey,8.3,12000000,49782,2001,Australia
tt0062622,2001: A Space Odyssey,8.3,12000000,165590,2001,Germany
tt0062622,2001: A Space Odyssey,8.3,12000000,0,2010,Kong
tt0062622,2001: A Space Odyssey,8.3,12000000,1871524,2002,Spain
tt0062622,2001: A Space Odyssey,8.3,12000000,None,None,None
tt0062622,2001: A Space Odyssey,8.3,12000000,None,None,None
tt0062622,2001: A Space Odyssey,8.3,12000000,None,None,None
tt0062765,Bullitt,7.5,5500000,4480000,None,USA
tt0062765,Bullitt,7.5,5500000,0,None,None
tt0062867,De Picos Pardos a la ciudad,4.4,None,12096361,None,USA
tt0065769,The Troops on Vacation,6.4,None,831043,None,USA
tt0065769,The Troops on Vacation,6.4,None,None,None,None
tt0065769,The Troops on Vacation,6.4,None,None,None,None
tt0066402,Start the Revolution Without Me,6.6,None,224979,2002,Spain
tt0066402,Start the Revolution Without Me,6.6,None,None,None,None
tt0066402,Start the Revolution Without Me,6.6,None,None,None,None
tt0066412,Blade of the Ripper,7,None,15193058,None,USA
tt0066735,4 mouches de velours gris,6.7,None,1231000000,None,USA
tt0066735,4 mouches de velours gris,6.7,None,None,None,None
tt0067803,Summer of '42,7.3,1000000,0,None,None
tt0067803,Summer of '42,7.3,1000000,None,None,None
tt0067907,Unman Wittering and Zigo,7.1,None,None,None,None
tt0068473,Deliverance,7.7,2000000,0,None,None
tt0068473,Deliverance,7.7,2000000,1443730,None,USA
tt0068473,Deliverance,7.7,2000000,None,None,None
tt0068576,Fear Is the Key,6.3,None,4111251,None,USA
tt0068699,High Plains Drifter,7.6,5500000,1512351,None,USA
tt0068699,High Plains Drifter,7.6,5500000,None,None,None
tt0069113,The Poseidon Adventure,7.1,5000000,264850,1972,USA
tt0069113,The Poseidon Adventure,7.1,5000000,0,None,None
tt0069113,The Poseidon Adventure,7.1,5000000,1099061,None,USA
tt0069191,Fellini Roma,7.4,None,934000,None,USA
tt0069281,Sleuth,8.1,None,368514,2003,Spain
tt0069281,Sleuth,8.1,None,None,None,None
tt0069281,Sleuth,8.1,None,767183,2003,Spain
tt0069495,What's Up Doc?,7.8,4000000,0,None,None
tt0069495,What's Up Doc?,7.8,4000000,11598000,None,USA
tt0069495,What's Up Doc?,7.8,4000000,None,None,None
tt0070034,Opération dragon,7.7,850000,3307526,None,Hong
tt0070034,Opération dragon,7.7,850000,None,None,None
