IMDB_ID,Title,Year,Release_Date,Runtime,UrlPoster,Genres,Rating,Rated,Votes
tt0000387,Reproduction Coronation Ceremonies: King Edward VII,1902,190209,4 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOGQ2MzY0YWMtMzIzZi00NTJmLTgwZmMtNDc4OGJiNjAxYzRiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1.jpg,History|Short,5.2,NULL,191
tt0000440,La guirlande merveilleuse,1903,19030613,4 min,https://images-na.ssl-images-amazon.com/images/M/MV5BY2JlMjQwY2YtMzU2Zi00MzU5LTgxNjItMGViYTMxOGI3NGE3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1.jpg,Fantasy|Short,5.4,NULL,119
tt0000770,The Taming of the Shrew,1908,19081110,17 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNTkyMzI2MjI4NF5BMl5BanBnXkFtZTYwNjIzOTc4._V1.jpg,Comedy|Romance|Short,6.0,NULL,58
tt0002544,Le jardinier,1912,19121017,0,https://images-na.ssl-images-amazon.com/images/M/MV5BYjM0ZWUxNGItM2FkNC00YmZjLTkyMmItMDcwZTI0ZWEwODVmL2ltYWdlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1.jpg,Drama,6.4,NULL,118
tt0003310,That Ragtime Band,1913,19130501,10 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNTM1NTg2M15BMl5BanBnXkFtZTcwMTE3NzQyMw@@._V1.jpg,Comedy|Short,5.6,NULL,21
tt0004280,Mabel's Busy Day,1914,19140613,10 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNWU3NDc5Y2QtNjgyNi00ZGYyLWJkMTQtZTZiMTNhNzNjMzJkXkEyXkFqcGdeQXVyNjkyMjkxOTE@._V1.jpg,Comedy|Short,5.6,TV-G,630
tt0004284,Mabel's Strange Predicament,1914,19140209,17 min,https://images-na.ssl-images-amazon.com/images/M/MV5BOTc4NTA0OTk3Ml5BMl5BanBnXkFtZTgwNTE1MTkzMjE@._V1.jpg,Comedy|Short,5.6,NULL,950
tt0005172,The Darkening Trail,1915,19150531,54 min,NULL,Drama,5.9,NULL,7
tt0005489,His New Job,1915,19150201,31 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDc5Nzg4M15BMl5BanBnXkFtZTYwODk0NDE5._V1.jpg,Comedy|Short,6.2,TV-G,1178
tt0006689,The Floorwalker,1916,19160515,29 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjAzNzExMF5BMl5BanBnXkFtZTgwNzQ2MzAwMzE@._V1.jpg,Comedy|Short,6.7,TV-G,1588
tt0007136,Nugget Jim's Pardner,1916,19160714,0,https://images-na.ssl-images-amazon.com/images/M/MV5BYTU5OTk3NTYtNjZiMi00ZDNhLWJiODktYzgzMTZlYzU5ZjBkXkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1.jpg,Short|Western,6.1,NULL,45
tt0009047,The Eyes of Julia Deep,1918,191808,57 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMGY0OTY1N2UtNzIwYi00MjRiLTljYjUtNTExN2YxZmRmMTc0XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1.jpg,Comedy|Drama,6.9,NULL,22
tt0009608,Shifting Sands,1918,19180801,60 min,https://images-na.ssl-images-amazon.com/images/M/MV5BNjYyNzdhZTAtYjgyMi00ZWNjLTg2YWQtZjJkNGE0MjQ1Y2IyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Drama,7.4,NULL,636
tt0009701,Tih Minh,1918,19190207,418 min,https://images-na.ssl-images-amazon.com/images/M/MV5BODJmNDY0ZTYtNGEwNC00NjYyLWIyMjktOGE5ZDJkMmJhY2UwXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1.jpg,Adventure|Mystery,7.5,NULL,178
tt0010198,A Gun Fightin' Gentleman,1919,19191129,50 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMDdkYzhlNGMtZjIyMS00NWIzLWJmNWItYWRlZjY2OGQ1MTllL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1.jpg,Comedy|Crime|Western,4.5,PASSED,28
tt0010281,Je ne voudrais pas être un homme,1918,20071205,45 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MjI3NTgzOF5BMl5BanBnXkFtZTgwMzY2Njk1MDE@._V1.jpg,Comedy|Romance,7.1,NULL,853
tt0010534,The Other Half,1919,19190818,50 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMGJhYTktNTRmOC00NjU3LWI0ODEtNjk5MjQyYjBiMDA0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1.jpg,Drama,7.0,NULL,6
tt0010635,The Roaring Road,1919,19190427,58 min,https://images-na.ssl-images-amazon.com/images/M/MV5BYzA5NDQ3YzUtMzVmZi00NWMwLWI1MjctODA2YzEyZGIxY2UyXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1.jpg,Comedy|Drama|Sport,6.7,PASSED,540
tt0011317,Humoresque,1920,19200530,60 min,https://images-na.ssl-images-amazon.com/images/M/MV5BODAwOTEwNzctNzNlYi00MmUzLWI3ZWQtYWU3ZGMwMDEyMWQwXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1.jpg,Drama,6.9,NULL,79
tt0011841,Way Down East,1920,19200903,145 min,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1.jpg,Drama|Romance,7.9,NOT RATED,4026
tt0012175,Fièvre,1921,NULL,43 min,https://images-na.ssl-images-amazon.com/images/M/MV5BODU5ZDIwNzktMThiNi00MDNhLTlhNzQtYzQ5ZDhiNzA2MWQ5L2ltYWdlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1.jpg,Drama|Short,6.5,NULL,123
